Ensemble_ID,Intensity,Intensity_Rank,Density,Density_Rank,Energy,Energy_Rank,Exp_Level,Exp_Rank,Avg_Count,Count_Rank,Avg_TPM,TPM_Rank
ENSMUSG00000071074,136.50529879902209,7363.0,0.00689068,7412.0,0.940616,7289.0,5851.321210787369,9499.0,47.89401875000001,3043.0,11.8600225,1571.0
ENSMUSG00000020561,125.80656322213746,13370.0,0.000549859,13989.0,0.0691759,14109.0,4062.9602409882477,14397.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000022472,137.75669729702963,6640.0,0.0546287,1640.0,7.52547,1739.0,7027.35364688806,5185.0,4.539905,6584.0,1.60988375,4212.0
ENSMUSG00000021598,138.013809378141,6474.0,0.0304363,3129.0,4.20063,3125.0,7482.852903977733,3861.0,16.12961665,4472.0,6.410722439375,2262.0
ENSMUSG00000017064,126.4058675312445,13092.0,0.000336137,14848.0,0.0424897,14932.0,4109.632045281447,14305.0,0.1875,12027.0,0.02703375,11941.0
ENSMUSG00000022956,164.8457176283249,579.0,0.116901,213.0,19.2708,201.0,11642.738419783123,218.0,17.611501875000002,4357.0,2.33221725,3618.0
ENSMUSG00000041629,140.54207287068272,5131.0,0.0239577,3807.0,3.36706,3716.0,8936.884760526296,1449.0,986.0237499999998,463.0,39.943718749999995,671.0
ENSMUSG00000078656,133.21555947342,9386.0,0.0339458,2845.0,4.5221,2923.0,6663.586158611521,6465.0,6.72556375,5845.0,1.0233993750000001,5023.0
ENSMUSG00000001783,145.40505085653928,3355.0,0.0503959,1827.0,7.32782,1786.0,9119.545485917286,1291.0,1.733159375,8483.0,0.2716333125,7908.0
ENSMUSG00000033949,147.6283522810086,2737.0,0.0169688,4798.0,2.50508,4523.0,6522.561316623576,6945.0,31.950462500000004,3523.0,0.7107371249999999,5791.0
ENSMUSG00000019579,145.87436310136727,3234.0,0.0213893,4121.0,3.12016,3912.0,9678.903370795753,876.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000020255,127.23343295378764,12713.0,0.00320106,9755.0,0.407282,9790.0,5776.463813431816,9771.0,1213.1176249999999,368.0,0.9691229999999998,5131.0
ENSMUSG00000007589,122.56480818977379,14528.0,0.00743504,7191.0,0.911279,7379.0,3511.973027009331,15408.0,21.325044999999996,4078.0,4.639734375000001,2664.0
ENSMUSG00000021595,138.18128729211628,6381.0,0.0261927,3556.0,3.61933,3518.0,6558.894583186614,6819.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000025869,121.16590631203904,14921.0,5.77e-06,17112.5,0.000698849,17118.0,4770.529034821945,12887.0,58.344891249999996,2817.0,11.81274375,1577.0
ENSMUSG00000032534,142.19053500065746,4398.0,0.000525339,14085.0,0.0746983,13952.0,5672.0054937646955,10165.0,0.67239375,10220.0,0.24952125,8107.0
ENSMUSG00000027808,128.63181552957448,12024.0,0.00029426,15039.0,0.0378512,15114.0,3795.9686228087535,14885.0,1370.395,320.0,30.653181249999996,834.0
ENSMUSG00000001211,124.65466414099414,13819.0,0.0376748,2566.0,4.69636,2834.0,3745.097094467757,14978.0,193.05895,1662.0,5.913558,2369.0
ENSMUSG00000022752,127.76460634917512,12449.0,0.00083626,13161.0,0.106844,13214.0,5940.7167942573415,9150.0,2945.4375,123.0,81.35148125,364.0
ENSMUSG00000019873,123.72191113373572,14152.0,4.36e-05,16777.0,0.00539982,16808.0,5261.054022977895,11550.0,0.26824375,11559.0,0.0125909,12596.0
ENSMUSG00000051716,0.0,17276.0,0.0,17276.0,0.0,17276.0,0.0,17276.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000022214,128.66282982292265,12006.0,0.0213534,4128.0,2.74739,4248.0,3884.711239285185,14725.0,3.84977142488125,6908.0,0.908596045596875,5251.0
ENSMUSG00000022210,142.33369672320174,4342.0,0.00157815,11680.0,0.224623,11426.0,7276.219979072444,4417.0,5.4993055625,6240.0,0.8917054875,5295.0
